STATECASESID,DATE_,STATECODE,POSITIVE_,NEGATIVE,TOTALRESULTS,HOSPITILIZED_CURRENTLY,INICU_CURRENTLY,ONVENTILATOR_CUMULATIVE,RECOVERED,DATAQUALITYGRADE,DEATH,HOSPITALIZED,TOTALTESTVIRAL,NEGATIVETESTSVIRAL,POSITIVETESTSVIRAL,POSITIVECASEVIRAL,DEATHCONFIRMED,DEATHINCREASE,HOSPITALIZEDINCREASE,HASH_
1,06-01-2021,AK,47334,1263681,1311015,101,,,7165,A,220,1074,1311015,1253043,56554,,,2,18,51164730bec344b0254e6bcf5c9ae93459486f9b
2,06-01-2021,AL,384184,1612941,1921210,2967,,1404,211684,A,4994,36059,,,,308269,4346,108,629,5df2553f9872cbf49825d26b5d982966642c1d48
3,06-01-2021,AR,242593,1919438,2117692,1321,427,1271,213574,A+,3901,11867,2117692,1919438,,198254,3252,65,124,5900c77d8c30f0a1cdcee3f2f80da1f4d70dbe6a
4,06-01-2021,AS,0,2140,2140,,,,,D,0,,2140,,,0,,0,0,f140dc5256438fa1704f7346f6bbb95431c82c10
5,06-01-2021,AZ,574680,2428898,5374504,4877,1084,,81214,A+,9444,41063,5374504,,,545136,8493,127,760,6f488ef855a4132cd2682fdb3fd0f8380aaa9cf6
6,06-01-2021,CA,2482226,32066395,34548621,22820,4731,,,B,27462,,34548621,,,2482226,,459,0,08c5fb787bdb2f81d0b1beb0fa094818d2df7b55
7,06-01-2021,CO,349450,1850889,4597755,988,,,18534,A,5050,19703,,,,332332,4333,59,885,d009f8a1e4fec805065f51097583dcf1626e954b
8,06-01-2021,CT,199454,4329323,4528777,1139,,,9800,B,6230,12257,4517072,,,187749,5048,38,0,930c724ed2a8e5d93f9d106d61031e09e2d02ea0
9,06-01-2021,DC,30482,901620,932102,265,69,,21461,A+,806,,,,,,,5,0,7114cf1493e4193408ad4e70bce2fe7683604dcb
10,06-01-2021,DE,61729,462197,1020329,458,65,,18851,A+,947,,,,63121,59134,844,0,0,2c1bb180af81d54d946f49bf124f0adc1d0b5308
11,06-01-2021,FL,1385040,7592363,16310438,7303,,,,A,22647,65232,14598971,12733963,1800408,1174410,,132,449,a30027abd221af3b548db724ff46055ed2a8583e
12,06-01-2021,GA,602796,4920425,5523221,5782,,,,A+,11165,43629,5523221,,574307,602796,10035,93,611,8bc9e05fdf9dfe613886f7ba8a784ef1a4d1f3ea
13,06-01-2021,GU,7378,90453,97831,11,3,,7145,B,123,,97645,,,7192,,0,0,a489049b47e5910d130092f6037f3e09a5172995
14,06-01-2021,HI,22792,295153,836346,123,21,,11958,B,299,1843,,,22083,22310,,10,26,7672c4c80e4fbcfdeb15f28b0a2b8ccce5308a04
15,06-01-2021,IA,245839,939639,1185478,604,116,,249919,A+,4060,,2264494,1986902,266187,245839,,61,0,be79a9198c40c6afe2fcf7378a40a3c95d8b21c5
16,06-01-2021,ID,144843,432565,552026,254,54,,62215,A,1471,5824,871888,,,119461,1298,12,79,db8066d1d2f5a2a55bf7dbf57075f80eab939809
17,06-01-2021,IL,999288,12699140,13698428,3928,812,,,A,18735,,13698428,,,447491,17096,173,0,7fc50927085d9d50203c2727f989292dc45dcf57
18,06-01-2021,IN,539229,2155356,5894505,2782,586,,357442,A+,8743,36314,5894505,,612814,,8371,80,193,9fe87d102d26c0a730bc7b0547169a699ac2e130
19,06-01-2021,KS,236818,800701,1037519,838,206,413,4745,A+,3027,7113,,,,,,130,158,b394a192380d6537905b5fa546edee62fedd3c1e
20,06-01-2021,KY,286541,3017564,3247372,1778,428,,37821,A+,2806,14039,3247372,,191733,229808,2609,34,189,946f5fa73cab72ca9e36f783bf69e0e15f300bdc
21,06-01-2021,LA,333524,4001468,4334992,1993,,,280373,A,7681,,4301435,,,299967,7273,46,0,e94519e78d4023a4e6574304bbb77544fd043c1a
22,06-01-2021,MA,404053,3725378,11308785,2416,442,,261672,A+,12836,16098,11308785,,467138,386052,12563,102,0,a533d3d70124df350a1cabdac91025a677e00cf4
23,06-01-2021,MD,292904,2586246,5932780,1862,444,,9391,A,6132,27711,5932780,,356165,292904,5960,50,169,4cda2e0fec633f851f690d8ed8c8caeb6fb5dc36
24,06-01-2021,ME,27090,1123966,1151056,191,50,,11607,A+,372,1124,1146760,1118473,27588,22794,366,3,7,e98d9d4f3e6440df2ef0233e451f821022dd1917
25,06-01-2021,MI,551498,7813432,8364930,2657,523,,363611,A+,13667,,8456264,7813432,642832,508736,12918,59,0,2927e08f5e2834c5e4881268f45fedb5ae8dcb1c
26,06-01-2021,MN,427587,2620027,5519178,817,140,,406910,A,5528,22437,,,,411956,5340,67,100,d95723e787a26ed8ff12819934f1d27fa73119c9
27,06-01-2021,MO,408443,1670033,3724603,2738,624,,,A+,5858,,3724603,3265005,452047,408443,,33,0,7f7b7a5a8cfbd50bea8f584771f45bc494656673
28,06-01-2021,MP,124,17429,17553,,,,29,D,2,4,26131,,,124,2,0,0,daa439ad9509265dee0220aa80502b4499c2bff5
29,06-01-2021,MS,228235,1183578,1411813,1495,358,,182103,A+,5013,8260,1335473,,,152906,3920,38,0,c694aad0b39600b99fd882b3d905af57b6dce067
30,06-01-2021,MT,84060,733082,817142,219,41,,78114,A,1015,3738,817142,,,84060,,10,52,bf2ed6c894f6dd9bcc9e7e5c5a77feb00b091ee5
31,06-01-2021,NC,582348,6660870,7243218,3893,823,,487090,A+,7076,,7191700,,,530830,6615,80,0,9ffecb93f935c049c26383294e53551f1c99fa42
32,06-01-2021,ND,93832,287034,1262673,85,13,,90511,B,1341,3610,1333897,,,90478,,5,13,e5a70981742f530a1ffa24b46640c73026cc0a17
33,06-01-2021,NE,171033,686341,1795682,515,,,114249,A,1692,5358,1795682,1597330,196373,171033,,10,37,2b9b11cbee0e286c767fc1090aeb7aff7398adf1
34,06-01-2021,NH,48838,492794,1068111,301,,,41237,B,816,919,1068111,,,35856,,24,1,635696f269b6891a86509f868d0a400983ed662e
35,06-01-2021,NJ,557267,7556256,8113523,3744,668,,57888,A,19523,49324,8060903,,,504647,17464,141,266,8447dfd488b32d149a733053f55475da1248b349
36,06-01-2021,NM,149984,1882594,2032578,712,,,72089,A,2641,10278,2032578,,,,,47,115,5433aa3726019e2fbaa62f2d7a9317dcf24b1d98
37,06-01-2021,NV,237393,976541,2162129,1919,411,,,A+,3295,,1157654,,,237393,,60,0,85015615b8ce8729d1bee154b3b8f8778b3250b5
38,06-01-2021,NY,1057676,25276006,26333682,8665,1408,,105379,B,30965,89995,,,,,,163,0,aebaa06b8389cca3d87f0c4427a32ba031cc025b
39,06-01-2021,OH,742817,7246428,7908645,4319,1021,,605474,A+,9368,40104,7908645,,687682,662217,8443,121,454,db82fb65a4aff6c1b9bd2cff96e0212b110a72d0
40,06-01-2021,OK,311573,2447350,2758923,1994,494,,274657,A+,2633,17886,2759122,2447350,306460,,,62,332,913cc49cd9ee63b75e2086dcbde8b044fd7d7de8
41,06-01-2021,OR,119488,2621628,2741116,540,110,,5870,A+,1550,6737,2741116,2578086,163030,74629,,0,102,11be675462ea626692493e1b5d473f7ab3c668bb
42,06-01-2021,PA,683389,3326956,4010345,5613,1120,,485206,A+,16914,,7709542,,,609905,,368,0,5b338db06b26b0b2a8c4daf56f3e9d3909303050
43,06-01-2021,PR,79612,305972,385584,417,65,,70374,B,1570,,310546,303412,7002,74756,1303,8,0,99d162e464ccbf0fb96ca7369880de06595226a1
44,06-01-2021,RI,95463,562634,2079925,405,59,,5743,A+,1890,6905,,1965528,114397,,,20,68,01a4eefefa3c2110b52238aaff7dda1cae388b4c
45,06-01-2021,SC,333235,2993641,3326876,2424,469,,158273,A+,5582,15015,3299845,2905531,394314,306204,5139,84,164,be90c58b25745f649ee27eedd75a3832d1b5bb63
46,06-01-2021,SD,101684,277357,379041,264,56,,93778,A+,1519,5805,783608,,,91875,,6,41,3fda410c6ca3943b5548b2a52f579c88d498021e
47,06-01-2021,TN,625237,5173852,5799089,3554,831,,548838,A+,7381,14935,5716342,5089894,626448,542490,6326,114,100,c8102852e6c220818b43cb5439f3bed44a15066b
48,06-01-2021,TX,1867163,12723771,14370153,13628,3477,,1504643,A,28545,,14370153,,1835626,1646382,,326,0,088554bd31072c9b5b4c5e7de87b8c05dca300fd
49,06-01-2021,UT,292720,1326209,2312383,589,192,651,239203,A+,1330,11463,2312383,2030447,281936,260373,,18,107,06342cfe20c63fddc07d3285cd2903fca85d445f
50,06-01-2021,VA,377300,4114862,4428211,2925,537,,32101,A+,5226,18636,,,386635,313349,4604,35,110,f4f2f622a4d1aa3153b18c08e01f0b0e0bda5f29
51,06-01-2021,VI,2083,34870,36953,,,,1955,D,24,,37032,,,,24,0,0,8e8ee54524a06a908994d02f3fbcc041c5c6889d
52,06-01-2021,VT,8158,261740,722745,40,6,,5546,B,152,,722745,,,7950,152,3,0,e0439ca624670496f7bb893d7f042edbd760d7ab
53,06-01-2021,WA,258767,3701052,3949632,1167,262,,,A,3541,15327,,,,248580,,59,167,0e7dff5d66fedf2700c29420af9911c7daccbf93
54,06-01-2021,WI,535999,2377053,5478167,1104,245,,461729,A+,5435,21971,,,,494747,5039,69,175,37f765fd17285e6771d492abd2c7e4d09aec5198
55,06-01-2021,WV,94678,1494181,1588859,818,217,,65571,B,1481,,1570248,,,76067,1298,39,0,51c885358dea2f35d1accae1942604703db8c68c
56,06-01-2021,WY,45890,161067,517839,112,,,43642,B,464,1176,517839,477981,39842,39215,,0,8,a337770bb64a0e720ace237d2da6489f295305ce
57,05-01-2021,AK,47006,1255853,1302859,93,,,7165,A,218,1056,1302859,1245250,56193,,,0,23,156134288c42f2632b7a9fcaa2a4ec8fd912943c
58,05-01-2021,AL,379593,1605791,1910881,3080,,1400,202137,A,4886,35430,,,,305090,4266,8,0,a4321a0590c59e924d2aaefc9fdb48de3dbc7822
59,05-01-2021,AR,238888,1908393,2104323,1323,426,1256,210617,A+,3836,11743,2104323,1908393,,195930,3205,36,229,ffc1b0d3bf31e09303f57be99d2814c8f34fb6cf
60,05-01-2021,AS,0,2140,2140,,,,,D,0,,2140,,,0,,0,0,6fbae5d9894b29faae54e071b0884b594f8738e2
61,05-01-2021,AZ,567474,2415013,5324030,4789,1096,,80302,A+,9317,40303,5324030,,,538719,8398,253,406,d9299956304255d01cca5c425249c05d86ba33bc
62,05-01-2021,CA,2452334,31878450,34330784,22485,4734,,,B,27003,,34330784,,,2452334,,368,0,314f15e4bb4eafba87fac2eb4bd827eea91e40e2
63,05-01-2021,CO,346893,1850889,4562056,988,,,18534,A,4991,18818,,,,332332,4333,47,71,e3343428e4ca66278832f9e4edc137be2f45793f
64,05-01-2021,CT,196968,4302547,4499515,1149,,,9800,B,6192,12257,4487992,,,185445,5017,24,0,0422397c803eecedbc606d1a4f7053fbfbecf31a
65,05-01-2021,DC,30166,896551,926717,260,72,,21337,A+,801,,,,,,,4,0,1caaba65ac78d1f5078337e65bad543ef6ac4399
66,05-01-2021,DE,61100,460650,1013723,431,56,,18851,A+,947,,,,62434,58560,844,10,0,537b160c77f772dd8fa538f977d93aa585fed04e
67,05-01-2021,FL,1367778,7553989,16196076,7345,,,,A,22515,64783,14488819,12645924,1778813,1163846,,100,386,5aca402510f38d1722a0b115b0f01045cd76e978
68,05-01-2021,GA,597208,4912672,5509880,5642,,,,A+,11072,43018,5509880,,571561,597208,9966,101,423,cf8067b7eb6309bc9d9f234b20aa00779ccfc74d
69,05-01-2021,GU,7357,90146,97503,10,3,,7132,B,123,,97319,,,7173,,0,0,70c4ca49b3dc3f60e83ae43a03fa5fbb9e62fbb2
70,05-01-2021,HI,22650,295153,832476,96,18,,11958,B,289,1817,,,21969,22168,,0,42,cc41c930e6be3dabb671dde8fc0988c89ca00294
71,05-01-2021,IA,243829,937415,1181244,582,115,,247853,A+,3999,,2251081,1975711,263998,243829,,7,0,ea7a5554ca2a3a1068d9764275f791604b964224
72,05-01-2021,ID,143305,431830,550308,254,54,,61493,A,1459,5745,867462,,,118478,1290,11,39,afa766f726ede9c549b57cdab1dcee9021c4f026
73,05-01-2021,IL,991719,12625735,13617454,3905,800,,,A,18562,,13617454,,,447491,16959,150,0,b5f199f61e12d290c14f56283a1afbf37fdde9c4
74,05-01-2021,IN,533083,2148656,5845344,2907,591,,354859,A+,8663,36121,5845344,,606160,,8292,149,265,3a6bd20e1ecfba02b5a0d00357541acb898972f1
75,05-01-2021,KS,231317,792812,1024129,662,180,412,4643,A+,2897,6955,,,,,,0,0,f776aed42a12578cb86443dd00a788fdd0fa5f69
76,05-01-2021,KY,280836,3008890,3234501,1760,430,,37502,A+,2772,13850,3234501,,190465,225611,2578,23,56,c8e9db3fa8e02f358ff11c98e5edbbfb0e8f4a38
77,05-01-2021,LA,326648,3981107,4307755,1974,,,263712,A,7635,,4276932,,,295825,7241,50,0,2ccbd30c1a04da43c7fae5f604b43e8b33808ee8
78,05-01-2021,MA,397202,3710339,11206212,2428,425,,261672,A+,12734,16098,11206212,,459850,379633,12464,63,0,8624bf75801832a5fd64c73209cc674562cabf3c
79,05-01-2021,MD,289758,2575342,5894499,1771,410,,9388,A,6082,27542,5894499,,352155,289758,5913,55,175,c61f1d17aafc64011d76d5f47d6f37536ef00d12
80,05-01-2021,ME,26565,1116539,1143104,191,50,,11582,A+,369,1117,1138987,1111229,27063,22448,363,9,10,0a9c8f9f485b508379c77da010600ec50e22db85
81,05-01-2021,MI,546642,7772844,8319486,2758,548,,363611,A+,13608,,8410913,7772844,638069,504410,12867,217,0,b412d7209a6fa331fe949ef86bf1ef0d5e292502
82,05-01-2021,MN,425261,2614260,5499303,842,155,,406667,A,5461,22337,,,,410036,5275,18,157,ae67674775ebe3171ade28fe4bf603483125bafe
83,05-01-2021,MO,405589,1667274,3711328,2657,612,,,A+,5825,,3711328,3254779,449019,405589,,263,0,7f7c889e5909cb016bd8090055fd446965156755
84,05-01-2021,MP,122,17429,17551,,,,29,D,2,4,26131,,,122,2,0,0,d9fc0d3f9eb83f0bbc65a60c15e93711cd9ef1e4
85,05-01-2021,MS,225444,1183578,1409022,1518,349,,182103,A+,4975,8260,1335473,,,151895,3902,91,0,1a8b744ea0b7261da2311fe5509811e2c74ad8b2
86,05-01-2021,MT,83378,729704,813082,212,37,,77449,A,1005,3686,813082,,,83378,,30,36,0a8dd3c8733d36f3d19ad81072bf02e1dbe87b72
87,05-01-2021,NC,575396,6624775,7200171,3781,813,,487090,A+,6996,,7150588,,,525813,6552,55,0,9f7d57d9fe7ebb43a708b613263afe1bf2225e16
88,05-01-2021,ND,93494,286188,1258364,93,15,,90281,B,1336,3597,1329081,,,90228,,17,21,895a65c96c85511c162429cc85152c7f5886a290
89,05-01-2021,NE,169585,684715,1781797,527,,,114249,A,1682,5321,1781797,1585220,194614,169585,,10,31,e097735cb11f425792ae0074aa93f682af96f336
90,05-01-2021,NH,47992,490464,1061333,305,,,40720,B,792,918,1061333,,,35362,,11,2,cb49a9e2ed87d46f0a75bf3d5828cc4ccaac48f9
91,05-01-2021,NJ,551419,7516254,8067673,3702,679,,57439,A,19382,49058,8015890,,,499636,17361,138,288,14b4f332bf10e0f2fd87cd7ee2459325f7f3033b
92,05-01-2021,NM,148499,1874960,2023459,740,,,70737,A,2594,10163,2023459,,,,,20,129,b53bd2b3ddd9fa2377b7e7f1f7f0d0e76e0f2571
93,05-01-2021,NV,235455,972862,2150738,1867,415,,,A+,3235,,1157654,,,235455,,29,0,f83e0a1beec79f5ba5a9bf2589b8d45b15d5e759
94,05-01-2021,NY,1041028,25094838,26135866,8590,1392,,105379,B,30802,89995,,,,,,154,0,0c31decd8559097d27b6da7cef458ef193f86e09
95,05-01-2021,OH,735003,7226102,7882683,4446,1054,,596221,A+,9247,39650,7882683,,682613,656581,8352,104,538,ed424e5b4079eed7bc0b7cd8cc9b88f3e0bca1b8
